iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
SYC,Seychelles,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.284,14179.033,,,,,,,,411136000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66237.0,0.939,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,1981,,0.0,,,,,-20.219,-0.19,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.945,11143.161,,,,,,,,385320000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67242.0,0.749,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,1982,,0.0,,,,,-8.333,-0.062,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.826,10082.909,,,,,,,,376090000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68120.0,0.687,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,1983,,0.0,,,,,72.727,0.5,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.188,17234.531,,,,,,,,372108000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68837.0,1.186,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,1984,,0.0,,,,,5.552,0.066,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.146,18043.219,,,,,,,,397980000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69402.0,1.252,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,1985,,0.0,,,,,4.713,0.059,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.972,18793.424,,,,,,,,441195000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69772.0,1.311,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,1986,,0.0,,,,,-5.004,-0.066,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.775,17809.809,,,,,,,,448868000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69941.0,1.246,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,1987,,0.0,,,,,5.609,0.07,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.834,18807.413,,,,,,,,464236000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69946.0,1.316,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,1988,,0.0,,,,,47.637,0.627,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.957,27775.057,,,,,,,,490866000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69925.0,1.942,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,1989,,0.0,,,,,4.058,0.079,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.723,28834.673,,,,,,,,542850000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70089.0,2.021,,,,,,,,,,,,,,,,,,,,,
