iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
SVK,Slovakia,1965,,,,,,,,,,,,,,,,,,,65.983,,70.231,,16021.781,,,,,,,,2.223,0.0,,,0.0,2.223,0.0,0.0,,,,24281.772,,94.199,,100.263,22873.108,,,,,,2.805,,2.985,,681.04,,,,,5.801,,6.175,507.126,1408.684,,2.223,507.126,,5.801,,6.175,1408.684,,,,,0.0,,0.0,0.0,0.0,,,25.411,,27.047,,6170.287,,,,0.0,,0.0,,0.0,,,0.0,,4383446.0,106.438,507.126,,,5.801,,6.175,1408.684,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
SVK,Slovakia,1966,,,,,,,3.536,3.764,,,,,,,,,,1.258,64.53,0.883,71.114,,16095.643,,,,,,,,2.13,0.0,,,0.0,2.13,0.0,0.0,,,,24942.696,4.011,94.631,4.022,104.285,23603.463,,,,,11.215,3.013,0.335,3.32,,751.46,,,,-4.175,5.369,-0.258,5.917,482.131,1339.253,,2.13,482.131,-4.175,5.369,-0.258,5.917,1339.253,,,,,0.0,0.0,0.0,0.0,0.0,,10.366,27.088,2.804,29.851,,6756.359,,,,0.0,,0.0,0.0,0.0,,,0.0,,4418201.0,110.202,482.131,,-4.175,5.369,-0.258,5.917,1339.253,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SVK,Slovakia,1967,,,,,,,0.576,0.635,,,,,,,,,,-3.573,61.869,-2.541,68.573,,15414.715,,,,,,,,1.825,0.0,,,0.0,1.825,0.0,0.0,,,,24915.227,1.421,95.426,1.482,105.767,23775.541,,,,,19.888,3.591,0.66,3.98,,894.764,,,,-14.315,4.574,-0.847,5.07,410.294,1139.705,,1.825,410.294,-14.315,4.574,-0.847,5.07,1139.705,,,,,0.0,0.0,0.0,0.0,0.0,,11.263,29.966,3.362,33.213,,7466.062,,,,0.0,,0.0,0.0,0.0,,,0.0,,4448551.0,110.837,410.294,,-14.315,4.574,-0.847,5.07,1139.705,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SVK,Slovakia,1968,,,,,,,10.419,11.548,,,,,,,,,,5.169,58.927,3.545,72.118,,16109.158,,,,,,,,1.675,0.0,,,0.0,1.675,0.0,0.0,,,,27337.407,11.313,96.198,11.966,117.732,26298.155,,,,,123.885,7.282,4.931,8.912,,1990.585,,,,-8.232,3.802,-0.417,4.653,374.138,1039.274,,1.675,374.138,-8.232,3.802,-0.417,4.653,1039.274,,,,,0.0,0.0,0.0,0.0,0.0,,10.507,29.99,3.49,36.703,,8198.413,,,,0.0,,0.0,0.0,0.0,,,0.0,,4476829.0,122.385,374.138,,-8.232,3.802,-0.417,4.653,1039.274,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SVK,Slovakia,1969,,,,,,,4.492,5.498,,,,,,,,,,5.184,59.317,3.738,75.856,,16833.946,,,,,,,,1.304,0.0,,,0.0,1.304,0.0,0.0,,,,28379.582,5.546,97.168,6.529,124.261,27575.936,,,,,1.344,7.062,0.12,9.031,,2004.206,,,,-22.164,2.832,-1.031,3.621,289.321,803.669,,1.304,289.321,-22.164,2.832,-1.031,3.621,803.669,,,,,0.0,0.0,0.0,0.0,0.0,,7.277,30.789,2.671,39.374,,8737.784,,,,0.0,,0.0,0.0,0.0,,,0.0,,4506152.0,127.883,289.321,,-22.164,2.832,-1.031,3.621,803.669,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SVK,Slovakia,1970,,,,,,,10.555,13.498,,,,,,,,,,0.813,54.09,0.617,76.473,,16848.64,,,,,,,,1.967,0.0,,,0.0,1.967,0.0,0.0,,,,31149.141,9.381,96.136,11.657,135.918,29945.583,,,,,34.284,8.578,3.096,12.128,,2671.939,,,,50.847,3.864,1.841,5.463,433.289,1203.583,,1.967,433.289,50.847,3.864,1.841,5.463,1203.583,,,,,0.0,0.0,0.0,0.0,0.0,,20.175,33.468,7.944,47.317,,10425.005,,,,0.0,,0.0,0.0,0.0,,,0.0,,4538843.0,141.381,433.289,,50.847,3.864,1.841,5.463,1203.583,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SVK,Slovakia,1971,,,,,,,7.267,10.275,,,,,,,,,,4.904,52.899,3.75,80.224,,17533.104,,,,,,,,1.476,0.0,,,0.0,1.476,0.0,0.0,,,,33144.69,8.562,97.297,11.637,147.556,32248.651,,,,,25.531,10.038,3.096,15.224,,3327.19,,,,-24.948,2.703,-1.363,4.1,322.583,896.066,,1.476,322.583,-24.948,2.703,-1.363,4.1,896.066,,,,,0.0,0.0,0.0,0.0,0.0,,10.125,34.359,4.791,52.108,,11388.358,,,,0.0,,0.0,0.0,0.0,,,0.0,,4575562.0,151.656,322.583,,-24.948,2.703,-1.363,4.1,896.066,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SVK,Slovakia,1972,,,,,,,5.165,7.833,,,,,,,,,,1.783,51.197,1.43,81.654,,17690.042,,,,,,,,1.546,0.003,,,0.0,1.546,0.0,0.0,,,,34552.548,5.171,97.302,7.63,155.186,33620.397,,,,,8.593,10.366,1.308,16.532,,3581.587,,,,4.743,2.693,0.194,4.294,334.934,930.373,,1.549,335.584,4.946,2.698,0.203,4.303,932.179,,,,,0.005,0.008,0.008,0.65,1.805,,9.388,35.739,4.892,57.0,,12348.768,,,,0.0,,0.0,0.0,0.0,,,0.0,,4615834.0,159.489,334.934,,4.743,2.693,0.194,4.294,930.373,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SVK,Slovakia,1973,,,,,,,4.061,6.477,,,,,,,,,,-2.763,47.84,-2.256,79.398,,17040.853,,,,,,,,1.322,0.232,,,0.0,1.322,0.0,0.0,,,,35620.409,4.164,97.399,6.463,161.649,34693.97,,,,,9.826,10.94,1.625,18.156,,3896.852,,,,-14.489,2.213,-0.622,3.672,283.735,788.153,,1.554,333.528,0.323,2.601,0.014,4.317,926.468,,,,7633.333,0.388,0.636,0.644,49.793,138.314,,12.446,38.619,7.094,64.094,,13756.265,,,,0.0,,0.0,0.0,0.0,,,0.0,,4659278.0,165.965,283.735,,-14.489,2.213,-0.622,3.672,788.153,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SVK,Slovakia,1974,,,,,,,5.149,8.545,,,,,,,,,,-0.337,45.344,-0.267,79.131,,16818.038,,,,,,,,2.223,0.486,,,0.0,2.223,0.0,0.0,,,,37089.652,3.302,95.688,5.337,166.986,35490.352,,,,,21.919,12.685,3.98,22.136,,4704.737,,,,68.154,3.538,2.503,6.175,472.466,1312.406,,2.709,575.758,74.324,4.312,3.208,7.525,1599.329,,,,109.483,0.774,0.706,1.35,103.292,286.923,,2.535,37.659,1.625,65.719,,13967.577,,,,0.0,,0.0,0.0,0.0,,,0.0,,4705102.0,174.511,472.466,,68.154,3.538,2.503,6.175,1312.406,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
