iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
SVN,Slovenia,1990,,,,,,,,,0.0,0.0,,,,,,,31.27,,26.721,,18.301,1938.792,9121.285,,,11.45,0.0,3.89,4.87,0.0,2.95,4.62,0.98,0.0,0.0,2.95,0.0,0.0,12.44,,1.901,34135.122,,69.192,,47.389,23618.814,2427.228,39.148,36026962530.0,0.0,,13.027,,8.922,0.0,4446.64,,,23.714,,12.062,,8.261,1470.292,4117.375,60.852,7.57,3772.919,,30.808,,21.1,10516.335,-8.646,-0.99,37.138,,18.746,,12.839,2302.627,6398.96,7.878,,29.444,,20.166,488.436,10050.889,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,6200.147,2006404.0,68.489,1470.292,23.714,,12.062,,8.261,4117.375,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
SVN,Slovenia,1991,,,,,,,-0.032,-0.022,0.0,0.0,,,,,,,28.414,-8.7,24.404,-1.592,16.709,1802.986,8322.044,,,10.72,0.0,3.62,4.18,0.0,3.61,4.95,0.56,0.0,0.0,3.61,0.0,0.0,12.74,,2.095,34100.864,-5.697,65.271,-2.7,44.689,22258.062,2081.901,32.81,32680462146.0,0.0,-4.929,12.388,-0.44,8.482,0.0,4224.57,,,28.336,21.318,14.638,1.761,10.022,1798.006,4991.697,67.19,8.56,4263.415,12.691,34.729,2.678,23.778,11842.83,-18.843,-2.02,38.854,7.14,20.091,0.917,13.756,2465.41,6851.132,4.396,-3.311,28.479,-0.668,19.498,278.915,9711.447,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6345.317,2007780.0,68.467,1798.006,28.336,21.318,14.638,1.761,10.022,4991.697,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
SVN,Slovenia,1992,,,,,,,-6.48,-4.437,0.0,0.0,,,,,,,37.601,4.169,27.183,0.697,17.405,2313.808,8679.51,18.593,9271.521,10.53,0.0,4.64,4.95,0.0,3.42,3.97,0.31,0.0,0.0,3.42,0.0,0.0,12.34,,2.081,31929.816,-2.68,67.923,-1.198,43.492,21687.796,2468.395,40.113,30763878142.0,0.0,-15.565,11.185,-1.32,7.162,0.0,3571.321,0.16,79.958,27.715,-5.127,14.85,-0.514,9.508,1705.436,4741.482,59.887,7.39,3685.139,-13.621,32.077,-3.239,20.539,10242.045,-17.189,-1.81,32.172,-19.81,17.227,-2.725,11.031,1979.702,5500.563,2.512,-2.944,29.555,-0.574,18.924,154.586,9436.966,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6153.533,2005352.0,64.031,1705.436,27.715,-5.127,14.85,-0.514,9.508,4741.482,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
SVN,Slovenia,1993,-8.127,-1.511,23.912,0.038,,0.0,2.885,1.847,0.0,0.0,,,,,,,39.247,-4.684,25.183,-0.815,16.59,2344.344,8292.782,17.082,8538.426,10.53,0.0,4.69,4.95,0.0,3.04,3.96,0.26,0.0,0.0,3.04,0.0,0.0,11.95,,2.091,32929.677,6.821,70.522,2.967,46.458,23222.691,2474.307,41.423,31503259213.0,0.0,-0.677,10.798,-0.049,7.113,0.0,3555.632,0.199,99.315,25.439,-11.335,12.797,-1.078,8.431,1519.575,4214.101,58.577,7.0,3499.02,-5.45,29.478,-1.119,19.419,9707.012,-13.485,-1.42,33.138,-0.378,16.681,-0.042,10.989,1979.446,5492.911,2.176,20.241,34.541,3.83,22.755,129.964,11374.277,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5973.327,2000560.0,65.878,1519.575,25.439,-11.335,12.797,-1.078,8.431,4214.101,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
SVN,Slovenia,1994,-5.214,-0.891,-50.446,-0.1,,0.0,6.356,4.188,0.0,0.0,,,,,,,35.764,-6.856,22.055,-1.137,15.453,2310.399,7744.496,16.191,8114.478,10.96,0.0,4.61,4.88,0.0,3.4,4.61,0.27,0.0,0.0,3.4,0.0,0.0,12.89,,2.121,35114.713,2.933,68.252,1.363,47.821,23966.457,2445.716,37.859,33038143022.0,0.0,8.892,11.055,0.633,7.746,0.0,3881.95,0.098,49.344,26.377,11.993,13.476,1.011,9.442,1703.982,4731.896,62.141,8.01,4014.382,14.547,31.748,2.825,22.244,11148.285,-17.609,-1.93,35.764,16.507,18.273,1.814,12.803,2310.399,6416.389,2.095,8.207,35.142,1.867,24.622,135.316,12340.011,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6460.097,1995326.0,70.065,1703.982,26.377,11.993,13.476,1.011,9.442,4731.896,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
SVN,Slovenia,1995,0.618,0.1,0.0,0.0,,0.0,5.087,3.564,0.0,0.0,,,,,,,35.659,3.733,21.771,0.577,16.03,2310.251,8050.541,16.291,8181.851,11.25,0.0,4.6,4.87,0.01,3.25,4.78,0.26,0.0,0.0,3.25,0.0,0.0,12.9,,2.084,36978.77,7.319,69.702,3.5,51.321,25774.912,2445.852,37.752,35329813730.0,0.078,10.99,11.676,0.851,8.597,5.022,4317.661,0.098,49.448,25.194,-4.325,12.269,-0.408,9.033,1632.242,4536.8,62.248,8.03,4032.894,0.287,30.298,0.064,22.308,11203.887,-14.667,-1.65,37.054,3.688,18.029,0.472,13.275,2400.652,6667.087,2.016,8.416,36.255,2.072,26.694,130.579,13406.71,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6478.746,1991126.0,73.629,1632.242,25.194,-4.325,12.269,-0.408,9.033,4536.8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
SVN,Slovenia,1996,-2.396,-0.39,9.697,0.01,,0.0,4.888,3.599,0.0,0.0,,,,,,,34.176,-7.712,19.155,-1.236,14.793,2242.806,7439.164,15.901,7996.073,11.39,0.0,4.46,4.73,0.01,3.67,4.65,0.26,0.0,0.0,3.67,0.0,0.0,13.05,,2.121,38835.953,5.936,70.398,3.046,54.367,27339.776,2378.582,36.245,36416384682.0,0.077,1.599,11.31,0.138,8.734,5.029,4392.334,0.108,54.312,28.123,12.792,13.193,1.156,10.189,1845.538,5123.705,63.755,8.32,4183.89,2.478,29.602,0.553,22.861,11496.208,-14.574,-1.66,35.632,-4.541,16.409,-0.603,12.672,2338.352,6372.503,1.992,15.528,39.933,4.145,30.839,130.747,15508.278,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6562.472,1988580.0,77.228,1845.538,28.123,12.792,13.193,1.156,10.189,5123.705,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
SVN,Slovenia,1997,3.419,0.544,32.043,0.035,,0.0,2.396,1.85,0.0,0.0,,,,,,,35.736,10.873,20.741,1.608,16.402,2369.863,8252.658,16.445,8274.159,11.48,0.0,4.71,5.07,0.01,3.09,5.02,0.35,0.0,0.0,3.09,0.0,0.0,13.18,,2.075,39788.756,4.016,71.512,2.183,56.551,28453.803,2550.999,38.467,38114367927.0,0.076,6.303,11.742,0.551,9.285,5.032,4671.803,0.143,71.756,23.445,-15.731,10.858,-1.603,8.586,1554.751,4320.153,61.533,8.11,4080.591,-1.458,28.488,-0.333,22.528,11334.985,-14.808,-1.7,38.088,10.018,17.63,1.269,13.942,2525.841,7014.832,2.656,0.079,39.029,0.024,30.864,176.104,15529.342,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6631.59,1987457.0,79.078,1554.751,23.445,-15.731,10.858,-1.603,8.586,4320.153,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
SVN,Slovenia,1998,-1.116,-0.183,-31.227,-0.045,,0.0,0.202,0.159,0.0,0.0,,,,,,,36.297,1.269,20.962,0.208,16.61,2505.807,8357.71,16.261,8182.151,11.8,0.0,4.98,5.23,0.11,3.45,5.04,0.14,0.0,0.0,3.45,0.0,0.0,13.72,,2.021,39870.401,-1.482,70.311,-0.838,55.713,28033.255,2631.6,38.12,39200577480.0,0.802,2.442,12.004,0.227,9.512,55.349,4786.069,0.098,49.351,25.146,11.614,12.094,0.997,9.583,1735.95,4822.088,61.88,8.49,4271.947,4.427,29.689,0.997,23.525,11837.178,-16.271,-1.92,36.735,0.0,17.595,0.0,13.942,2535.997,7015.09,1.02,-4.124,37.345,-1.273,29.591,70.444,14889.475,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6903.548,1987384.0,79.238,1735.95,25.146,11.614,12.094,0.997,9.583,4822.088,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
SVN,Slovenia,1999,-6.544,-1.064,-100.0,-0.098,,0.0,-1.103,-0.874,0.226,15.093,,,,,,,33.786,-8.521,19.39,-1.415,15.195,2253.946,7644.605,15.197,7645.817,11.92,0.03,4.48,4.79,0.17,3.74,4.7,0.14,0.0,0.03,3.77,0.0,0.0,13.26,,1.907,39425.983,-1.553,69.99,-0.865,54.847,27594.464,2409.911,36.124,41091819668.0,1.282,4.387,12.67,0.417,9.929,85.529,4995.413,0.0,0.0,28.205,8.377,13.254,0.803,10.386,1881.643,5225.392,63.876,8.47,4261.367,-0.035,30.01,-0.008,23.517,11831.55,-11.242,-1.34,35.445,-6.436,16.646,-0.897,13.044,2364.631,6562.835,1.056,0.449,37.93,0.133,29.724,70.436,14954.446,0.0,0.0,0.0,15.093,,0.11,0.086,0.086,0.0,0.226,43.324,6671.279,1987625.0,78.364,1896.736,28.431,9.275,13.364,0.889,10.472,5268.715,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
