iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
SSD,South Sudan,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,5933884.0,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,2012,,,,,,17.831,,,0.0,0.0,,,,,,690.476,0.0,,,,,0.0,,0.0,0.0,0.42,0.0,0.0,0.42,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.42,0.29,,590.161,,,,,,41.528,100.0,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,41.528,,17.831,1763.074,0.0,0.0,,,,,0.0,0.0,,41.528,10113648.0,5.969,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SSD,South Sudan,2013,,0.0,,,220.403,39.3,5.771,0.344,0.0,0.0,,,,,,704.545,0.0,,,,,0.0,,0.0,0.0,0.44,0.0,0.0,0.44,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.44,0.31,,609.67,,,,,,42.491,100.0,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,42.491,,57.131,5517.262,0.0,0.0,,,,,0.0,0.0,,42.491,10355030.0,6.313,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SSD,South Sudan,2014,,0.0,,,55.774,31.865,3.456,0.218,0.0,0.0,,,,,,695.652,0.0,,,,,0.0,,0.0,0.0,0.46,0.0,0.0,0.46,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.46,0.32,,618.795,,,,,,43.582,100.0,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,43.582,,88.996,8431.731,0.0,0.0,,,,,0.0,0.0,,43.582,10554882.0,6.531,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SSD,South Sudan,2015,,0.0,,,-4.901,-4.362,22.546,1.473,0.0,0.0,,,,,,703.704,0.0,,,,,0.0,,0.0,0.0,0.54,0.0,0.0,0.54,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.54,0.38,,746.928,,,,,,50.394,100.0,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,50.394,,84.634,7898.178,0.0,0.0,,,,,0.0,0.0,,50.394,10715657.0,8.004,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SSD,South Sudan,2016,,0.0,,,-7.223,-6.113,-3.441,-0.275,0.0,0.0,,,,,,693.878,0.0,,,,,0.0,,0.0,0.0,0.49,0.0,0.0,0.49,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.49,0.34,,713.446,,,,,,45.234,100.0,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,45.234,,78.521,7248.618,0.0,0.0,,,,,0.0,0.0,,45.234,10832520.0,7.728,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SSD,South Sudan,2017,,,,,7.394,5.806,-12.366,-0.956,0.0,0.0,,,,,,705.882,0.0,,,,,0.0,,,,0.51,0.0,0.0,0.51,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.51,0.36,,620.734,,,,,,46.743,100.0,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,46.743,,84.326,7728.729,0.0,0.0,,,,,0.0,0.0,,46.743,10910774.0,6.773,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SSD,South Sudan,2018,,,,,-1.973,-1.664,2.871,0.194,0.0,0.0,,,,,,709.091,0.0,,,,,0.0,,,,0.55,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.55,0.39,,634.765,,,,,,50.11,100.0,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,50.11,,82.663,7531.259,0.0,0.0,,,,,0.0,0.0,,50.11,10975924.0,6.967,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SSD,South Sudan,2019,,,,,18.864,15.593,11.866,0.827,0.0,0.0,,,,,,709.091,0.0,,,,,0.0,,,,0.55,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.55,0.39,,704.552,,,,,,49.719,100.0,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,49.719,,98.256,8882.207,0.0,0.0,,,,,0.0,0.0,,49.719,11062114.0,7.794,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SSD,South Sudan,2020,,,,,-0.898,-0.883,,,0.0,0.0,,,,,,709.091,0.0,,,,,0.0,,,,0.55,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.55,0.39,,,,,,,,49.135,100.0,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,49.135,,97.373,8698.922,0.0,0.0,,,,,0.0,0.0,,49.135,11193729.0,,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
