iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
LKA,Sri Lanka,1965,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.365,0.0,,,0.0,0.365,0.0,0.0,,,0.272,584.86,,84.398,,5.484,493.608,,,23850109650.0,,,0.0,,0.0,,0.0,,,,,15.602,,1.014,32.851,91.252,,0.365,32.851,,15.602,,1.014,91.252,,,,,0.0,,0.0,0.0,0.0,,,84.398,,5.484,,493.608,,,,0.0,,0.0,,0.0,,,0.0,,11110825.0,6.498,32.851,,,15.602,,1.014,91.252,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
LKA,Sri Lanka,1966,,,,,,,3.49,0.227,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.399,0.0,,,0.0,0.399,0.0,0.0,,,0.285,590.919,2.413,83.519,0.132,5.617,493.532,,,23609037654.0,,,0.0,0.0,0.0,,0.0,,,,9.315,16.481,0.094,1.108,35.059,97.387,,0.399,35.059,9.315,16.481,0.094,1.108,97.387,,,,,0.0,0.0,0.0,0.0,0.0,,2.413,83.519,0.132,5.617,,493.532,,,,0.0,,0.0,0.0,0.0,,,0.0,,11380665.0,6.725,35.059,,9.315,16.481,0.094,1.108,97.387,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LKA,Sri Lanka,1967,,,,,,,2.477,0.167,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.41,0.0,,,0.0,0.41,0.0,0.0,,,0.268,591.167,2.422,83.474,0.136,5.753,493.473,,,25750589361.0,,,0.0,0.0,0.0,,0.0,,,,2.757,16.526,0.031,1.139,35.17,97.695,,0.41,35.17,2.757,16.526,0.031,1.139,97.695,,,,,0.0,0.0,0.0,0.0,0.0,,2.422,83.474,0.136,5.753,,493.473,,,,0.0,,0.0,0.0,0.0,,,0.0,,11657650.0,6.892,35.17,,2.757,16.526,0.031,1.139,97.695,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LKA,Sri Lanka,1968,,,,,,,4.577,0.315,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.474,0.0,,,0.0,0.474,0.0,0.0,,,0.26,603.724,2.392,81.731,0.138,5.89,493.428,,,27687378771.0,,,0.0,0.0,0.0,,0.0,,,,15.61,18.269,0.178,1.317,39.706,110.296,,0.474,39.706,15.61,18.269,0.178,1.317,110.296,,,,,0.0,0.0,0.0,0.0,0.0,,2.392,81.731,0.138,5.89,,493.428,,,,0.0,,0.0,0.0,0.0,,,0.0,,11937607.0,7.207,39.706,,15.61,18.269,0.178,1.317,110.296,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LKA,Sri Lanka,1969,,,,,,,4.784,0.345,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.549,0.0,,,0.0,0.549,0.0,0.0,,,0.262,618.243,2.317,79.806,0.136,6.027,493.396,,,28778195340.0,,,0.0,0.0,0.0,,0.0,,,,15.823,20.194,0.208,1.525,44.945,124.847,,0.549,44.945,15.823,20.194,0.208,1.525,124.847,,,,,0.0,0.0,0.0,0.0,0.0,,2.317,79.806,0.136,6.027,,493.396,,,,0.0,,0.0,0.0,0.0,,,0.0,,12214948.0,7.552,44.945,,15.823,20.194,0.208,1.525,124.847,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LKA,Sri Lanka,1970,,,,,,,86.819,6.556,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.74,0.0,,,0.0,0.74,0.0,0.0,,,0.468,1129.943,99.97,85.424,6.025,12.052,965.245,,,30146122080.0,,,0.0,0.0,0.0,,0.0,,,,34.845,14.576,0.531,2.056,59.292,164.699,,0.74,59.292,34.845,14.576,0.531,2.056,164.699,,,,,0.0,0.0,0.0,0.0,0.0,,99.97,85.424,6.025,12.052,,965.245,,,,0.0,,0.0,0.0,0.0,,,0.0,,12485736.0,14.108,59.292,,34.845,14.576,0.531,2.056,164.699,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LKA,Sri Lanka,1971,,,,,,,-5.951,-0.84,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.826,0.0,,,0.0,0.826,0.0,0.0,,,0.444,1040.847,-8.931,82.718,-1.076,10.975,860.969,,,29882786274.0,,,0.0,0.0,0.0,,0.0,,,,11.509,17.282,0.237,2.293,64.756,179.878,,0.826,64.756,11.509,17.282,0.237,2.293,179.878,,,,,0.0,0.0,0.0,0.0,0.0,,-8.931,82.718,-1.076,10.975,,860.969,,,,0.0,,0.0,0.0,0.0,,,0.0,,12747831.0,13.269,64.756,,11.509,17.282,0.237,2.293,179.878,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LKA,Sri Lanka,1972,,,,,,,8.099,1.075,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.847,0.0,,,0.0,0.847,0.0,0.0,,,0.47,1103.13,9.244,83.595,1.015,11.99,922.158,,,30521860473.0,,,0.0,0.0,0.0,,0.0,,,,2.617,16.405,0.06,2.353,65.15,180.973,,0.847,65.15,2.617,16.405,0.06,2.353,180.973,,,,,0.0,0.0,0.0,0.0,0.0,,9.244,83.595,1.015,11.99,,922.158,,,,0.0,,0.0,0.0,0.0,,,0.0,,13002234.0,14.343,65.15,,2.617,16.405,0.06,2.353,180.973,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LKA,Sri Lanka,1973,,,,,,,0.582,0.084,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.696,0.0,,,0.0,0.696,0.0,0.0,,,0.454,1088.639,4.204,86.605,0.504,12.494,942.813,,,31750252236.0,,,0.0,0.0,0.0,,0.0,,,,-17.873,13.395,-0.421,1.933,52.498,145.827,,0.696,52.498,-17.873,13.395,-0.421,1.933,145.827,,,,,0.0,0.0,0.0,0.0,0.0,,4.204,86.605,0.504,12.494,,942.813,,,,0.0,,0.0,0.0,0.0,,,0.0,,13252033.0,14.427,52.498,,-17.873,13.395,-0.421,1.933,145.827,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LKA,Sri Lanka,1974,,,,,,,-12.186,-1.758,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.998,0.0,,,0.0,0.998,0.0,0.0,,,0.386,938.283,-20.783,78.126,-2.597,9.898,733.045,,,32792925672.0,,,0.0,0.0,0.0,,0.0,,,,43.395,21.874,0.839,2.771,73.886,205.238,,0.998,73.886,43.395,21.874,0.839,2.771,205.238,,,,,0.0,0.0,0.0,0.0,0.0,,-20.783,78.126,-2.597,9.898,,733.045,,,,0.0,,0.0,0.0,0.0,,,0.0,,13501931.0,12.669,73.886,,43.395,21.874,0.839,2.771,205.238,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
