iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
CHE,Switzerland,1965,,,,,,,,,,,,,,,,,,,8.326,,14.833,,2551.822,,,,,,,,24.097,0.0,,,0.0,24.097,0.0,0.0,,,1.514,30647.614,,62.427,,111.213,19132.286,,,117686331787.0,,,0.0,,0.0,,0.0,,,,,37.573,,66.937,4145.524,11515.353,,24.097,4145.524,,37.573,,66.937,11515.353,,,,,0.0,,0.0,0.0,0.0,,,54.1,,96.38,,16580.463,,,,0.0,,0.0,,0.0,,,0.0,,5812844.0,178.15,4145.524,,,37.573,,66.937,11515.353,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
CHE,Switzerland,1966,,,,,,,7.31,13.023,,,,,,,,,,-17.322,6.415,-2.569,12.264,,2078.811,,,,,,,,27.519,0.0,,,0.0,27.519,0.0,0.0,,,1.576,32404.992,3.164,60.015,3.519,114.732,19447.831,,,121266331047.0,,,0.0,0.0,0.0,,0.0,,,,14.198,39.985,9.504,76.441,4664.584,12957.187,,27.519,4664.584,14.198,39.985,9.504,76.441,12957.187,,,,,0.0,0.0,0.0,0.0,0.0,,6.317,53.6,6.089,102.468,,17369.02,,,,0.0,,0.0,0.0,0.0,,,0.0,,5899478.0,191.173,4664.584,,14.198,39.985,9.504,76.441,12957.187,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CHE,Switzerland,1967,,,,,,,6.759,12.922,,,,,,,,,,-15.651,5.068,-1.919,10.344,,1731.596,,,,,,,,29.85,0.0,,,0.0,29.85,0.0,0.0,,,1.623,34164.08,5.617,59.373,6.445,121.177,20284.268,,,125760276907.0,,,0.0,0.0,0.0,,0.0,,,,8.473,40.627,6.477,82.917,4996.738,13879.839,,29.85,4996.738,8.473,40.627,6.477,82.917,13879.839,,,,,0.0,0.0,0.0,0.0,0.0,,8.163,54.305,8.364,110.832,,18552.672,,,,0.0,,0.0,0.0,0.0,,,0.0,,5973940.0,204.094,4996.738,,8.473,40.627,6.477,82.917,13879.839,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CHE,Switzerland,1968,,,,,,,5.195,10.603,,,,,,,,,,-5.478,4.554,-0.567,9.778,,1619.287,,,,,,,,29.515,0.0,,,0.0,29.515,0.0,0.0,,,1.636,35555.784,9.518,61.813,11.534,132.711,21978.028,,,131196509404.0,,,0.0,0.0,0.0,,0.0,,,,-1.122,38.187,-0.93,81.987,4887.998,13577.784,,29.515,4887.998,-1.122,38.187,-0.93,81.987,13577.784,,,,,0.0,0.0,0.0,0.0,0.0,,10.918,57.259,12.1,122.933,,20358.741,,,,0.0,,0.0,0.0,0.0,,,0.0,,6038328.0,214.697,4887.998,,-1.122,38.187,-0.93,81.987,13577.784,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CHE,Switzerland,1969,,,,,,,3.622,7.777,,,,,,,,,,-9.545,3.975,-0.933,8.844,,1450.76,,,,,,,,28.245,0.535,,,0.0,28.245,0.0,0.0,,,1.605,36492.615,7.399,64.066,9.819,142.53,23379.246,,,138575264054.0,,,0.001,0.003,0.002,,0.41,,,,-4.304,35.266,-3.528,78.459,4633.063,12869.63,,28.78,4720.819,-2.491,35.934,-2.042,79.945,13113.398,,,,,0.668,1.486,1.486,87.756,243.768,,8.745,60.089,10.75,133.683,,21928.076,,,,0.0,,0.0,0.0,0.0,,,0.0,,6096427.0,222.475,4633.063,,-4.304,35.266,-3.528,78.459,12869.63,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CHE,Switzerland,1970,,,,,,,9.555,21.258,,,,,,,,,,-14.196,3.114,-1.256,7.589,,1233.797,,,,,,,,29.173,1.766,,,0.0,29.173,0.0,0.0,,,1.656,39625.774,10.708,64.74,15.262,157.792,25653.635,,,147142841610.0,,15300.0,0.158,0.383,0.385,,62.593,,,,3.284,33.248,2.576,81.035,4742.863,13174.629,,30.939,5029.978,7.5,35.26,5.996,85.941,13972.171,,,,230.093,2.013,3.419,4.906,287.115,797.542,,12.069,61.468,16.135,149.818,,24357.245,,,,0.0,,0.0,0.0,0.0,,,0.0,,6150848.0,243.732,4742.863,,3.284,33.248,2.576,81.035,13174.629,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CHE,Switzerland,1971,,,,,,,2.397,5.843,,,,,,,,,,-32.467,2.053,-2.464,5.125,,826.22,,,,,,,,29.044,1.391,,,0.0,29.044,0.0,0.0,,,1.607,40234.958,4.59,66.126,7.243,165.035,26605.836,,,155328076772.0,,141.558,0.373,0.545,0.93,,149.929,,,,-0.442,32.326,-0.358,80.677,4682.243,13006.242,,30.435,4906.491,-1.629,33.874,-1.4,84.541,13629.154,,,,-21.234,1.548,-1.042,3.864,224.248,622.912,,6.115,63.7,9.162,158.98,,25629.687,,,,0.0,,0.0,0.0,0.0,,,0.0,,6202951.0,249.575,4682.243,,-0.442,32.326,-0.358,80.677,13006.242,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CHE,Switzerland,1972,,,,,,,-1.237,-3.086,,,,,,,,,,-15.393,1.759,-0.789,4.336,,693.636,,,,,,,,24.234,3.84,,,0.0,24.234,0.0,0.0,,,1.519,39430.132,2.103,68.362,3.471,168.506,26955.372,,,162319729435.0,,26.882,0.479,0.25,1.18,,188.761,,,,-16.56,27.31,-13.36,67.317,3876.648,10768.474,,28.074,4490.921,-7.757,31.638,-6.557,77.983,12474.791,,,,176.06,4.327,6.803,10.667,614.274,1706.317,,2.522,66.124,4.01,162.989,,26072.975,,,,0.0,,0.0,0.0,0.0,,,0.0,,6251286.0,246.489,3876.648,,-16.56,27.31,-13.36,67.317,10768.474,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CHE,Switzerland,1973,,,,,,,10.556,26.02,,,,,,,,,,-5.061,1.511,-0.219,4.117,,654.215,,,,,,,,26.587,6.31,,,0.0,26.587,0.0,0.0,,,1.627,43306.762,7.492,66.467,12.624,181.13,28784.908,,,167492529974.0,,35.381,0.586,0.418,1.598,,253.872,,,,9.708,27.101,6.535,73.852,4225.101,11736.4,,32.897,5227.876,17.178,33.533,13.396,91.38,14521.889,,,,64.323,6.432,6.861,17.528,1002.775,2785.488,,7.624,64.371,12.426,175.416,,27876.821,,,,0.0,,0.0,0.0,0.0,,,0.0,,6292538.0,272.509,4225.101,,9.708,27.101,6.535,73.852,11736.4,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CHE,Switzerland,1974,,,,,,,-4.585,-12.495,,,,,,,,,,-13.765,1.365,-0.567,3.55,,561.531,,,,,,,,27.85,7.067,,,0.0,27.85,0.0,0.0,,,1.565,41128.506,-9.997,62.697,-18.108,163.022,25786.441,,,166140026784.0,,110.642,1.294,1.768,3.365,,532.268,,,,4.753,29.753,3.511,77.362,4405.309,12236.98,,34.917,5523.151,6.143,37.303,5.613,96.993,15342.098,,,,11.997,7.55,2.103,19.631,1117.841,3105.117,,-11.008,60.038,-19.309,156.107,,24692.642,,,,0.0,,0.0,0.0,0.0,,,0.0,,6322006.0,260.015,4405.309,,4.753,29.753,3.511,77.362,12236.98,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
