iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
SYR,Syria,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30919369310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.195,2054.439,,,,,,,,,,,5935850.0,,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1969,,,,,151.691,18.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36713904600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.693,4999.689,,,,,,,,,,,6139054.0,,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1970,,,,,60.377,18.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35314193079.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.225,7751.337,,,,,,,,,,,6350544.0,,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1971,,,,0.0,24.706,12.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38820256552.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.387,9342.268,,,,,,,,,,,6570859.0,,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1972,,,,0.0,10.68,6.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48536588796.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.943,9991.353,,,,,,,,,,,6800148.0,,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1973,,,,0.0,-5.387,-3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44381139512.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.282,9133.789,,,,,,,,,,,7037860.0,,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1974,,,,0.0,16.216,10.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55096370215.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.706,10257.398,,,,,,,,,,,7283181.0,,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1975,,,,0.0,48.837,36.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65835235144.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.191,14755.209,,,,,,,,,,,7535715.0,,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1976,,,,0.314,4.974,5.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73066458564.0,,,,,,,,0.314,40.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.722,14974.62,,,,,,,,,,,7794658.0,,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1977,,,11.306,0.035,-9.204,-10.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72138182282.0,,,,,,,,0.35,43.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.979,13147.692,,,,,,,,,,,8060652.0,,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1978,,,-3.577,-0.013,-2.186,-2.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78433653939.0,,,,,,,,0.337,40.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.662,12434.891,,,,,,,,,,,8336421.0,,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1979,,,3.116,0.011,-6.704,-6.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81274363320.0,,,,,,,,0.348,40.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.713,11212.206,,,,,,,,,,,8625693.0,,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1980,,,34.604,0.12,-5.13,-4.961,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.887,9034.956,,,,,,,,91017139668.0,,,,,,,,0.468,52.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.752,10273.649,,,,,,,,,,,8930776.0,80.689,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1981,,0.0,0.909,0.004,3.514,3.224,5.02,4.05,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.85,9158.201,,,,,,,,99661259008.0,,,,,,,,0.472,51.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.976,10264.475,,,,,,,,,,,9252854.0,84.74,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1982,,0.0,4.343,0.021,-5.488,-5.212,1.8,1.525,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.847,8995.065,,,,,,,,101793313598.0,,,,,,,,0.492,51.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.764,9359.905,,,,,,,,,,,9590226.0,86.265,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1983,,0.0,51.777,0.255,3.871,3.475,12.39,10.688,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.939,9754.902,,,,,,,,103242922428.0,,,,,,,,0.747,75.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.238,9381.197,,,,,,,,,,,9938852.0,96.953,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1984,,0.0,68.896,0.515,0.897,0.836,11.548,11.196,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.092,10506.911,,,,,,,,99037090944.0,,,,,,,,1.263,122.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.074,9139.614,,,,,,,,,,,10293048.0,108.148,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1985,,0.0,18.812,0.237,-1.935,-1.82,4.414,4.774,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.075,10604.39,,,,,,,,105078926718.0,,,,,,,,1.5,140.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.255,8663.51,,,,,,,,,,,10648633.0,112.922,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1986,,0.0,152.85,2.293,25.8,23.802,0.088,0.099,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.132,10270.683,,,,,,,,99884050400.0,,,,,,,,3.793,344.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.057,10546.504,,,,,,,,,,,11004273.0,113.021,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1987,,0.0,-1.542,-0.058,15.07,17.49,11.784,13.319,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.241,11120.679,,,,,,,,101803979585.0,,,,,,,,3.734,328.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.547,11754.977,,,,,,,,,,,11360848.0,126.34,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1988,,0.0,136.554,5.099,16.449,21.967,4.871,6.154,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.149,11305.889,,,,,,,,115309899470.0,,,,,,,,8.833,753.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.514,13270.163,,,,,,,,,,,11719064.0,132.494,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1989,,0.0,63.687,5.626,26.652,41.447,6.879,9.114,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.349,11722.161,,,,,,,,104981143280.0,,,,,,,,14.459,1196.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.961,16304.155,,,,,,,,,,,12080439.0,141.609,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,1990,,0.0,10.115,1.462,19.424,38.257,15.827,22.412,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.451,13178.453,,,,,,,,113006350002.0,,,,,,,,15.922,1279.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.218,18898.842,,,,,,,,,,,12446168.0,164.021,,,,,,,,,,,,,,,,,,,,,
