iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
TJK,Tajikistan,1992,,,,,,,,,,,,,,,,,,,,,,,,2.711,492.644,,,,,,,,,,,,,,,,5.315,15048.228,,,,,,,,15578966821.0,,,,,,,,1.084,197.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.784,142.391,,,,,,,,,,,5502490.0,82.803,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,1993,-9.662,-0.262,-100.0,-1.084,-40.448,-0.317,-7.634,-6.321,,,,,,,,,,,,,,,,2.449,437.819,,,,,,,,,,,,,,,,5.555,13673.761,,,,,,,,13768157612.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,83.42,,,,,,,,,,,5593317.0,76.482,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,1994,-70.856,-1.735,,0.359,-26.985,-0.126,-3.044,-2.328,,,,,,,,,,,,,,,,0.714,125.671,,,,,,,,,,,,,,,,6.862,13057.166,,,,,,,,10806555309.0,,,,,,,,0.359,63.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341,59.988,,,,,,,,,,,5679169.0,74.154,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,1995,-62.385,-0.445,17.949,0.064,18.479,0.063,-17.428,-12.924,,,,,,,,,,,,,,,,0.268,46.568,,,,,,,,,,,,,,,,6.472,10621.405,,,,,,,,9460370089.0,,,,,,,,0.424,73.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.404,70.018,,,,,,,,,,,5764806.0,61.23,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,1996,-51.22,-0.138,-28.261,-0.12,-15.366,-0.062,10.112,6.192,,,,,,,,,,,,,,,,0.131,22.38,,,,,,,,,,,,,,,,7.5,11522.453,,,,,,,,8989076957.0,,,,,,,,0.304,51.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,58.383,,,,,,,,,,,5851354.0,67.422,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,1997,-15.0,-0.02,42.687,0.13,5.149,0.018,-4.926,-3.321,,,,,,,,,,,,,,,,0.111,18.744,,,,,,,,,,,,,,,,7.04,10794.251,,,,,,,,9105127936.0,,,,,,,,0.434,73.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359,60.489,,,,,,,,,,,5938404.0,64.101,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,1998,11.765,0.013,50.0,0.217,-17.526,-0.063,3.234,2.073,,,,,,,,,,,,,,,,0.124,20.64,,,,,,,,,,,,,,,,6.959,10978.795,,,,,,,,9509147510.0,,,,,,,,0.651,107.966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296,49.151,,,,,,,,,,,6027395.0,66.174,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,1999,0.0,0.0,0.0,0.0,0.0,0.0,12.931,8.557,,,,,,,,,,,,,,,,0.124,20.329,,,,,,,,,,,,,,,,7.543,12211.531,,,,,,,,9907040677.0,,,,,,,,0.651,106.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296,48.41,,,,,,,,,,,6119664.0,74.73,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,2000,15.79,0.02,-33.333,-0.217,-18.99,-0.056,-21.304,-15.921,0.0,0.0,,,,,,32.904,0.0,,,,,0.0,,0.144,23.173,15.43,0.0,0.0,0.21,0.08,13.77,0.0,0.13,0.0,0.0,13.77,0.0,0.0,13.98,0.46,5.478,9460.519,,,,,,33.782,1.502,10735309488.0,0.572,,,,,12.869,,0.434,69.79,98.498,,,,,2215.134,,98.498,13.77,2215.134,,,,,,9.397,1.45,0.0,,,,,0.0,,0.93,,,,,20.913,,0.24,38.607,0.0,0.0,,,,,0.0,0.0,,2248.916,6216329.0,58.81,2215.134,98.498,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
TJK,Tajikistan,2001,9.091,0.013,25.0,0.108,-14.484,-0.035,4.675,2.749,0.0,0.0,,,,,,30.942,0.0,,,,,0.0,,0.157,24.871,15.42,0.0,0.0,0.16,0.06,14.06,0.0,0.1,0.0,0.0,14.06,0.0,0.0,14.22,0.44,5.262,9742.644,,,,,,25.322,1.125,11697939352.0,0.422,,,,,9.496,,0.542,85.826,98.875,,,,,2225.208,,98.875,14.06,2225.208,,,,,,7.782,1.2,0.0,,,,,0.0,,0.703,,,,,15.827,,0.205,32.481,0.0,0.0,,,,,0.0,0.0,,2250.531,6318510.0,61.559,2225.208,98.875,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
TJK,Tajikistan,2002,50.0,0.079,-60.0,-0.325,-5.215,-0.011,2.885,1.776,0.0,0.0,,,,,,29.062,0.0,,,,,0.0,,0.236,36.677,16.47,0.0,0.0,0.13,0.05,15.01,0.0,0.08,0.0,0.0,15.01,0.0,0.0,15.14,0.44,4.951,9854.71,,,,,,20.228,0.859,12792779403.0,0.33,,,,,7.78,,0.217,33.752,99.141,,,,,2335.51,,99.141,15.01,2335.51,,,,,,8.075,1.33,0.0,,,,,0.0,,0.528,,,,,12.448,,0.195,30.268,0.0,0.0,,,,,0.0,0.0,,2355.738,6426861.0,63.335,2335.51,99.141,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
TJK,Tajikistan,2003,30.556,0.072,100.0,0.217,13.916,0.027,5.168,3.273,0.0,0.0,,,,,,30.006,0.0,,,,,0.0,,0.308,47.045,16.34,0.0,0.0,0.16,0.06,16.17,0.0,0.1,0.0,0.0,16.17,0.0,0.0,16.33,0.49,4.748,10182.328,,,,,,24.459,0.98,14027435028.0,0.367,,,,,9.172,,0.434,66.32,99.02,,,,,2471.891,,99.02,16.17,2471.891,,,,,,0.061,0.01,0.0,,,,,0.0,,0.612,,,,,15.287,,0.222,33.876,0.0,0.0,,,,,0.0,0.0,,2496.35,6541550.0,66.608,2471.891,99.02,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
