iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
TKM,Turkmenistan,1985,,,,,,,,,,,,,,,,,,,2.617,,3.745,,1154.388,,,,,,,,0.003,0.0,,,0.0,0.003,0.0,0.0,10.987,,7.139,44112.97,,99.994,,143.095,44110.437,,,20045559792.0,,,57.127,,81.751,,25200.507,787.319,242698.365,0.027,,0.006,,0.008,0.925,2.569,0.027,0.003,0.925,,0.006,,0.008,2.569,,,0.0,,0.0,,0.0,0.0,0.0,,,40.25,,57.599,,17755.542,78.851,24306.664,,0.0,,0.0,,0.0,,0.0,0.0,3386.843,3244024.0,143.104,0.925,0.027,,0.006,,0.008,2.569,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
TKM,Turkmenistan,1986,,,1.815,14.291,-3.245,-2.559,24.46,35.003,,,,,,,,,,0.0,2.103,0.0,3.745,,1126.457,,,,,,,,0.003,0.0,,,0.0,0.003,0.0,0.0,12.396,,8.638,53574.645,24.462,99.995,35.003,178.099,53572.181,,,20620067292.0,,61.982,74.35,50.671,132.422,,39832.591,801.61,241124.768,0.024,0.0,0.005,0.0,0.008,0.902,2.507,0.024,0.003,0.902,0.0,0.005,0.0,0.008,2.507,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-27.201,23.543,-15.668,41.932,,12613.133,76.293,22948.916,,0.0,,0.0,0.0,0.0,,0.0,0.0,3728.724,3324462.0,178.107,0.902,0.024,0.0,0.005,0.0,0.008,2.507,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
TKM,Turkmenistan,1987,,,4.014,32.178,-1.372,-1.047,-0.519,-0.924,,,,,,,,,,0.0,2.114,0.0,3.745,,1099.067,,,,,,,,0.003,0.0,,,0.0,0.003,0.0,0.0,13.267,,8.387,52000.752,-0.519,99.995,-0.924,177.174,51998.348,,,21125900576.0,,-0.665,74.241,-0.88,131.542,,38605.754,833.788,244705.678,0.023,0.0,0.005,0.0,0.008,0.88,2.446,0.023,0.003,0.88,0.0,0.005,0.0,0.008,2.446,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-0.105,23.641,-0.044,41.888,,12293.526,75.246,22083.726,,0.0,,0.0,0.0,0.0,,0.0,0.0,3893.687,3407310.0,177.183,0.88,0.023,0.0,0.005,0.0,0.008,2.446,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
TKM,Turkmenistan,1988,,,0.227,1.893,-11.592,-8.722,0.677,1.2,,,,,,,,,,-14.286,1.799,-0.535,3.21,,918.713,,,,,,,,0.003,0.0,,,0.0,0.003,0.0,0.0,12.891,,7.738,51055.522,0.677,99.995,1.2,178.374,51053.178,,,23051919786.0,,1.342,74.731,1.765,133.307,,38154.25,835.681,239183.388,0.023,0.0,0.005,0.0,0.008,0.859,2.385,0.023,0.003,0.859,0.0,0.005,0.0,0.008,2.385,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-0.072,23.465,-0.03,41.858,,11980.215,66.524,19039.97,,0.0,,0.0,0.0,0.0,,0.0,0.0,3689.582,3493892.0,178.382,0.859,0.023,0.0,0.005,0.0,0.008,2.385,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
TKM,Turkmenistan,1989,,,1.812,15.143,0.524,0.349,2.751,4.907,,,,,,,,,,16.667,2.043,0.535,3.745,,1044.34,,,,,,,,0.003,0.0,,,0.0,0.003,0.0,0.0,14.508,,8.675,51114.538,2.751,99.995,4.907,183.282,51112.255,,,21128380000.0,,3.312,75.139,4.415,137.722,,38406.846,850.824,237271.349,0.021,0.0,0.005,0.0,0.008,0.837,2.324,0.021,0.003,0.837,0.0,0.005,0.0,0.008,2.324,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-0.102,22.814,-0.043,41.815,,11661.07,66.872,18648.907,,0.0,,0.0,0.0,0.0,,0.0,0.0,4045.883,3585867.0,183.29,0.837,0.021,0.0,0.005,0.0,0.008,2.324,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
TKM,Turkmenistan,1990,,,-6.864,-58.397,-0.87,-0.581,-17.131,-31.399,,,,,,,,,,14.286,2.818,0.535,4.28,,1161.745,,,,,,,,0.003,0.0,,,0.0,0.003,0.0,0.0,14.61,,7.164,41230.203,-17.131,99.995,-31.399,151.883,41227.974,,,21201768000.0,,-32.628,61.087,-44.936,92.786,,25186.418,792.426,215100.701,0.021,0.0,0.005,0.0,0.008,0.814,2.262,0.021,0.003,0.814,0.0,0.005,0.0,0.008,2.262,,,0.0,,0.0,0.0,0.0,0.0,0.0,,31.094,36.09,13.002,54.817,,14879.811,66.291,17994.407,,0.0,,0.0,0.0,0.0,,0.0,0.0,3965.822,3683978.0,151.891,0.814,0.021,0.0,0.005,0.0,0.008,2.262,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
TKM,Turkmenistan,1991,,,-3.911,-30.992,-5.263,-3.489,2.699,4.099,,,,,,,,,,-12.5,2.401,-0.535,3.745,,988.302,,,,,,,,0.003,0.0,,,0.0,0.003,0.0,0.0,14.954,,7.632,41167.214,2.699,99.995,4.099,155.982,41165.047,,,20437995415.0,,-1.999,58.293,-1.855,90.931,,23997.554,761.434,200949.056,0.02,0.0,0.005,0.0,0.008,0.792,2.199,0.02,0.003,0.792,0.0,0.005,0.0,0.008,2.199,,,0.0,,0.0,0.0,0.0,0.0,0.0,,11.838,39.301,6.489,61.306,,16179.191,62.802,16573.999,,0.0,,0.0,0.0,0.0,,0.0,0.0,3946.36,3789188.0,155.99,0.792,0.02,0.0,0.005,0.0,0.008,2.199,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
TKM,Turkmenistan,1992,,,-33.94,-258.431,-3.704,-2.326,-4.5,-7.02,,,,,,,,,,-57.143,1.077,-2.14,1.605,,411.54,0.0,0.0,,,,,,0.004,0.0,,,0.0,0.004,0.0,0.0,13.183,,8.479,38199.102,-4.503,99.992,-7.023,148.959,38196.141,,,17569984855.0,,-2.904,59.267,-2.64,88.291,,22639.566,503.002,128980.192,0.032,40.0,0.008,0.003,0.012,1.077,2.992,0.032,0.004,1.077,40.0,0.008,0.003,0.012,2.992,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-3.658,39.648,-2.243,59.063,,15145.035,60.476,15507.291,,0.0,,0.0,0.0,0.0,,0.0,0.0,3380.341,3899843.0,148.971,1.077,0.032,40.0,0.008,0.003,0.012,2.992,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
TKM,Turkmenistan,1993,,0.0,17.069,85.855,-15.731,-9.513,-17.908,-26.678,,,,,,,,,,-100.0,0.0,-1.605,0.0,,0.0,0.0,0.0,,,,,,0.005,0.0,,,0.0,0.005,0.0,0.0,12.637,,6.78,30490.811,-17.911,99.989,-26.681,122.278,30487.373,,,18037533421.0,,0.0,72.196,0.0,88.291,,22013.313,588.858,146818.369,0.04,19.048,0.011,0.002,0.014,1.247,3.463,0.04,0.005,1.247,19.048,0.011,0.002,0.014,3.463,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-42.455,27.792,-25.076,33.988,,8474.06,50.963,12706.393,,0.0,,0.0,0.0,0.0,,0.0,0.0,3150.702,4010789.0,122.292,1.247,0.04,19.048,0.011,0.002,0.014,3.463,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
TKM,Turkmenistan,1994,,0.0,-45.096,-265.554,-4.336,-2.21,6.673,8.161,,,,,,,,,,,0.045,0.058,0.058,,14.131,0.0,0.0,,,,,,0.004,0.0,,,0.0,0.004,0.0,0.0,10.52,,8.644,31701.007,6.676,99.991,8.164,130.442,31698.333,,,15091298497.0,,8.993,73.767,7.94,96.231,,23384.859,323.304,78565.128,0.038,-20.0,0.009,-0.003,0.011,0.972,2.7,0.038,0.004,0.972,-20.0,0.009,-0.003,0.011,2.7,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.485,26.18,0.165,34.153,,8299.343,48.753,11847.319,,0.0,,0.0,0.0,0.0,,0.0,0.0,2556.435,4115105.0,130.453,0.972,0.038,-20.0,0.009,-0.003,0.011,2.7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
