iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
UGA,Uganda,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.413,376.1,,,,,,,,11322223728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12442333.0,4.68,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,1981,,0.0,,,,,-28.759,-1.346,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.284,259.941,,,,,,,,11745407596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12825084.0,3.334,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,1982,,0.0,,,,,13.762,0.459,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.298,286.838,,,,,,,,12712719960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13221991.0,3.793,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,1983,,0.0,,,,,-4.863,-0.184,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.264,264.552,,,,,,,,13658978502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13638729.0,3.608,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,1984,,0.0,,,,,9.973,0.36,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.318,281.762,,,,,,,,12485804058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14082870.0,3.968,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,1985,,0.0,,,,,5.719,0.227,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.329,288.126,,,,,,,,12751084298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14559357.0,4.195,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,1986,,0.0,,,,,4.684,0.196,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.343,291.394,,,,,,,,12793401192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15070319.0,4.391,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,1987,,0.0,,,,,-8.224,-0.361,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.296,258.138,,,,,,,,13611121561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15612754.0,4.03,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,1988,,0.0,,,,,29.176,1.176,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.357,321.758,,,,,,,,14591129036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16180129.0,5.206,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,1989,,0.0,,,,,-0.024,-0.001,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.333,310.494,,,,,,,,15637284736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16763041.0,5.205,,,,,,,,,,,,,,,,,,,,,
