iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
ARE,United Arab Emirates,1965,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.142,5702.399,,100.0,,0.855,5702.404,,,5997095590.0,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,100.0,,0.855,,5702.404,158.939,1060620.056,,0.0,,0.0,,0.0,,,0.0,,149855.0,0.855,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
ARE,United Arab Emirates,1966,,,,,27.569,43.818,6.73,0.058,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.138,5701.005,6.73,100.0,0.058,0.912,5701.01,,,6609458262.0,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,6.73,100.0,0.058,0.912,,5701.01,202.757,1267399.662,,0.0,,0.0,0.0,0.0,,,0.0,,159979.0,0.912,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,1967,,,,,6.139,12.447,492.819,4.495,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.742,31847.909,492.819,100.0,4.495,5.407,31847.935,,,7284735920.0,,,81.87,4.427,4.426,,26073.839,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,7.479,18.13,0.068,0.98,,5774.095,215.204,1267638.057,,0.0,,0.0,0.0,0.0,,,0.0,,169768.0,5.407,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,1968,,,,,30.322,65.254,28.445,1.538,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.865,38028.217,28.445,100.0,1.538,6.945,38028.248,,,8028546960.0,,32.159,84.237,1.424,5.85,,32033.757,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,11.676,15.763,0.114,1.095,,5994.491,280.459,1535750.486,,0.0,,0.0,0.0,0.0,,,0.0,,182620.0,6.945,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,1969,,,,,26.074,73.128,0.349,0.024,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.787,34312.271,0.349,100.0,0.024,6.969,34312.299,,,8853531262.0,,-1.667,82.545,-0.098,5.752,,28323.09,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,11.118,17.455,0.122,1.216,,5989.209,353.586,1740920.891,,0.0,,0.0,0.0,0.0,,,0.0,,203103.0,6.969,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,1970,,,,,24.18,85.496,37.835,2.637,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.984,40959.913,37.835,100.0,2.637,9.606,40959.946,,,9759055815.0,,42.373,85.263,2.438,8.19,,34923.614,8.122,34632.556,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,16.373,14.737,0.199,1.416,,6036.332,439.082,1872323.222,,0.0,,0.0,0.0,0.0,,,0.0,,234512.0,9.606,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,1971,,,76.591,6.221,35.903,157.644,52.391,5.032,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.285,52756.694,52.391,100.0,5.032,14.638,52756.736,,,11392897440.0,,58.333,88.588,4.778,12.968,,46735.999,14.342,51690.676,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,18.009,11.412,0.255,1.671,,6020.738,596.726,2150651.035,,0.0,,0.0,0.0,0.0,,,0.0,,277463.0,14.638,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,1972,,,1.496,0.214,13.827,82.508,6.914,1.012,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.177,47285.991,6.914,100.0,1.012,15.65,47286.029,,,13298290500.0,,3.759,85.974,0.488,13.455,,40653.51,14.557,43982.349,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,31.404,14.026,0.525,2.195,,6632.52,679.234,2052265.717,,0.0,,0.0,0.0,0.0,,,0.0,,330968.0,15.65,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,1973,,,16.242,2.364,27.082,183.949,29.667,4.643,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.307,51423.785,29.667,100.0,4.643,20.293,51423.826,,,15523947453.0,,25.362,83.119,3.413,16.868,,42743.145,16.921,42878.999,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,56.054,16.881,1.23,3.426,,8680.681,863.183,2187350.049,,0.0,,0.0,0.0,0.0,,,0.0,,394625.0,20.293,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,1974,,,0.144,0.024,9.526,82.229,9.867,2.002,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.085,47695.32,9.867,100.0,2.002,22.296,47695.358,,,20552258034.0,,4.046,78.715,0.683,17.55,,37543.59,16.946,36250.393,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,38.53,21.285,1.32,4.746,,10151.768,945.412,2022458.483,,0.0,,0.0,0.0,0.0,,,0.0,,467457.0,22.296,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
