iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
,Western Africa,1965,,,,,,,,,,,,,,,,,,,10.597,,5.491,,,,,,,,,,0.478,0.0,,,0.0,0.478,0.0,0.0,,,,,,97.439,,50.486,,,,,,,1.844,,0.956,,,,,,,2.561,,1.327,,,,0.478,,,2.561,,1.327,,,,,,0.0,,0.0,,,,,84.997,,44.04,,,,,,,,0.0,,0.0,,,,,,51.813,,,,2.561,,1.327,,,,0.0,,0.0,,,,,0.0,,0.0,,
,Western Africa,1966,,,,,,,9.924,5.142,,,,,,,,,,-5.368,9.123,-0.295,5.196,,,,,,,,,,0.931,0.0,,,0.0,0.931,0.0,0.0,,,,,7.69,95.458,3.882,54.369,,,,,,79.617,3.013,0.761,1.716,,,,,,94.939,4.542,1.26,2.587,,,,0.931,,94.939,4.542,1.26,2.587,,,,,,0.0,0.0,0.0,,,,7.757,83.322,3.416,47.456,,,,,,,,0.0,0.0,0.0,,,,,,56.955,,,94.939,4.542,1.26,2.587,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Western Africa,1967,,,,,,,1.608,0.916,,,,,,,,,,-52.819,4.236,-2.745,2.452,,,,,,,,,,1.934,0.0,,,0.0,1.934,0.0,0.0,,,,,-3.441,90.715,-1.871,52.498,,,,,,2.87,3.051,0.049,1.766,,,,,,107.722,9.285,2.786,5.373,,,,1.934,,107.722,9.285,2.786,5.373,,,,,,0.0,0.0,0.0,,,,1.738,83.428,0.825,48.281,,,,,,,,0.0,0.0,0.0,,,,,,57.871,,,107.722,9.285,2.786,5.373,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Western Africa,1968,,,,,,,0.964,0.558,,,,,,,,,,-82.691,0.726,-2.027,0.424,,,,,,,,,,3.015,0.0,,,0.0,3.015,0.0,0.0,,,,,-4.655,85.667,-2.444,50.054,,,,,,-18.787,2.454,-0.332,1.434,,,,,,55.856,14.333,3.001,8.374,,,,3.015,,55.856,14.333,3.001,8.374,,,,,,0.0,0.0,0.0,,,,-0.175,82.487,-0.085,48.196,,,,,,,,0.0,0.0,0.0,,,,,,58.429,,,55.856,14.333,3.001,8.374,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Western Africa,1969,,,,,,,12.145,7.096,,,,,,,,,,22.256,0.792,0.094,0.519,,,,,,,,,,3.991,0.0,,,0.0,3.991,0.0,0.0,,,,,8.758,83.08,4.384,54.438,,,,,,-56.509,0.952,-0.81,0.624,,,,,,32.39,16.92,2.712,11.087,,,,3.991,,32.39,16.92,2.712,11.087,,,,,,0.0,0.0,0.0,,,,10.581,81.337,5.1,53.296,,,,,,,,0.0,0.0,0.0,,,,,,65.525,,,32.39,16.92,2.712,11.087,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Western Africa,1970,,,,,,,12.234,8.016,,,,,,,,,,78.685,1.261,0.408,0.927,,,,,,,,,,4.647,0.0,,,0.0,4.647,0.0,0.0,,,,,11.377,82.446,6.194,60.632,,,,,,69.095,1.434,0.431,1.054,,,,,,16.44,17.554,1.823,12.91,,,,4.647,,16.44,17.554,1.823,12.91,,,,,,0.0,0.0,0.0,,,,10.047,79.751,5.355,58.65,,,,,,,,0.0,0.0,0.0,,,,,,73.542,,,16.44,17.554,1.823,12.91,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Western Africa,1971,,,,,,,28.905,21.257,,,,,,,,,,95.047,1.907,0.881,1.808,,,,,,,,,,4.764,0.0,,,0.038,4.802,0.0,0.0,,,,,34.349,85.928,20.827,81.459,,,,,,85.135,2.059,0.898,1.952,,,,,,2.516,13.961,0.325,13.234,,,,4.802,,3.333,14.072,0.43,13.34,,,,,,0.0,0.0,0.0,,,,32.477,81.961,19.048,77.698,,,,,,,,0.111,0.106,0.106,,,,,,94.799,,,3.333,14.072,0.43,13.34,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Western Africa,1972,,,,,,,8.022,7.604,,,,,,,,,,30.42,2.303,0.55,2.358,,,,,,,,,,5.177,0.0,,,0.038,5.215,0.0,0.0,,,,,7.928,85.854,6.458,87.917,,,,,,34.063,2.556,0.665,2.617,,,,,,8.662,14.043,1.146,14.381,,,,5.215,,8.593,14.146,1.146,14.486,,,,,,0.0,0.0,0.0,,,,6.748,80.995,5.243,82.941,,,,,,,0.0,0.103,0.0,0.106,,,,,,102.403,,,8.593,14.146,1.146,14.486,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Western Africa,1973,,,,,,,12.232,12.526,,,,,,,,,,1.715,2.087,0.04,2.399,,,,,,,,,,6.065,0.0,,,0.038,6.103,0.0,0.0,,,,,11.441,85.248,10.059,97.975,,,,,,53.176,3.488,1.392,4.009,,,,,,17.159,14.66,2.468,16.848,,,,6.103,,17.034,14.752,2.468,16.954,,,,,,0.0,0.0,0.0,,,,10.401,79.673,8.626,91.568,,,,,,,0.0,0.092,0.0,0.106,,,,,,114.929,,,17.034,14.752,2.468,16.954,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Western Africa,1974,,,,,,,2.763,3.175,,,,,,,,,,-18.72,1.651,-0.449,1.95,,,,,,,,,,6.516,0.0,,,0.039,6.555,0.0,0.0,,,,,1.96,84.583,1.921,99.896,,,,,,-6.635,3.169,-0.266,3.743,,,,,,7.431,15.326,1.252,18.1,,,,6.555,,7.401,15.417,1.255,18.209,,,,,,0.0,0.0,0.0,,,,2.878,79.763,2.636,94.203,,,,,,,2.632,0.092,0.003,0.108,,,,,,118.104,,,7.401,15.417,1.255,18.209,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Western Africa,1975,,,,,,,7.766,9.172,,,,,,,,,,8.787,1.666,0.171,2.121,,,,,,,,,,6.922,0.0,,,0.039,6.961,0.0,0.0,,,,,8.053,84.808,8.045,107.94,,,,,,-10.406,2.635,-0.39,3.354,,,,,,6.226,15.107,1.127,19.227,,,,6.961,,6.189,15.192,1.127,19.335,,,,,,0.0,0.0,0.0,,,,8.771,80.507,8.263,102.466,,,,,,,0.0,0.085,0.0,0.108,,,,,,127.276,,,6.189,15.192,1.127,19.335,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
